"","District_orig","County","election_id","office_id","candidate_id","candidate_name","first_name","last_name","prefix","suffix","gender","race","ethinicity","age","incumbent"
"1","Statewide","Bartholomew","IN_2012-11-06_GEN","AG_Bartholomew_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"2","Statewide","Blackford","IN_2012-11-06_GEN","AG_Blackford_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"3","Statewide","Brown","IN_2012-11-06_GEN","AG_Brown_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"4","Statewide","Carroll","IN_2012-11-06_GEN","AG_Carroll_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"5","Statewide","Cass","IN_2012-11-06_GEN","AG_Cass_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"6","Statewide","Daviess","IN_2012-11-06_GEN","AG_Daviess_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"7","Statewide","Dubois","IN_2012-11-06_GEN","AG_Dubois_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"8","Statewide","Allen","IN_2012-11-06_GEN","AG_Allen_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"9","Statewide","Benton","IN_2012-11-06_GEN","AG_Benton_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"10","Statewide","Clark","IN_2012-11-06_GEN","AG_Clark_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"11","Statewide","Boone","IN_2012-11-06_GEN","AG_Boone_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"12","Statewide","Clay","IN_2012-11-06_GEN","AG_Clay_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"13","Statewide","Dearborn","IN_2012-11-06_GEN","AG_Dearborn_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"14","Statewide","Decatur","IN_2012-11-06_GEN","AG_Decatur_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"15","Statewide","DeKalb","IN_2012-11-06_GEN","AG_DeKalb_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"16","Statewide","Delaware","IN_2012-11-06_GEN","AG_Delaware_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"17","Statewide","Elkhart","IN_2012-11-06_GEN","AG_Elkhart_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"18","Statewide","Adams","IN_2012-11-06_GEN","AG_Adams_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"19","Statewide","Clinton","IN_2012-11-06_GEN","AG_Clinton_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"20","Statewide","Crawford","IN_2012-11-06_GEN","AG_Crawford_1_1",NA,"Kay Fleming","Kay","Fleming",NA,NA,NA,NA,NA,NA,NA
"21","Statewide","Bartholomew","IN_2012-11-06_GEN","AG_Bartholomew_1_1",NA,"Greg Zoeller","Greg","Zoeller",NA,NA,NA,NA,NA,NA,NA
"22","Statewide","Benton","IN_2012-11-06_GEN","AG_Benton_1_1",NA,"Greg Zoeller","Greg","Zoeller",NA,NA,NA,NA,NA,NA,NA
"23","Statewide","Brown","IN_2012-11-06_GEN","AG_Brown_1_1",NA,"Greg Zoeller","Greg","Zoeller",NA,NA,NA,NA,NA,NA,NA
"24","Statewide","Cass","IN_2012-11-06_GEN","AG_Cass_1_1",NA,"Greg Zoeller","Greg","Zoeller",NA,NA,NA,NA,NA,NA,NA
"25","Statewide","Decatur","IN_2012-11-06_GEN","AG_Decatur_1_1",NA,"Greg Zoeller","Greg","Zoeller",NA,NA,NA,NA,NA,NA,NA
"26","Statewide","Carroll","IN_2012-11-06_GEN","AG_Carroll_1_1",NA,"Greg Zoeller","Greg","Zoeller",NA,NA,NA,NA,NA,NA,NA
"27","Statewide","Clinton","IN_2012-11-06_GEN","AG_Clinton_1_1",NA,"Greg Zoeller","Greg","Zoeller",NA,NA,NA,NA,NA,NA,NA
"28","Statewide","Crawford","IN_2012-11-06_GEN","AG_Crawford_1_1",NA,"Greg Zoeller","Greg","Zoeller",NA,NA,NA,NA,NA,NA,NA
